Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   53, 3.309E+02, 4.134E+01, 1.110E+01, 4.931E+01, 3.262E+01, 2.160E+01, 1.287E+02, 0.000E+00, 1.399E-01, 3.839E+01, 1.417E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   54, 3.546E+02, 4.134E+01, 1.118E+01, 4.922E+01, 3.234E+01, 2.207E+01, 1.126E+02, 0.000E+00, 1.445E-01, 3.800E+01, 1.409E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   55, 3.562E+02, 4.115E+01, 1.115E+01, 4.913E+01, 3.257E+01, 2.144E+01, 1.066E+02, 0.000E+00, 1.350E-01, 3.782E+01, 1.415E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   56, 3.497E+02, 4.104E+01, 1.090E+01, 4.188E+01, 3.148E+01, 2.051E+01, 1.080E+02, 0.000E+00, 1.313E-01, 4.857E+01, 1.419E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   57, 3.396E+02, 4.075E+01, 1.101E+01, 4.121E+01, 3.210E+01, 2.034E+01, 1.193E+02, 0.000E+00, 1.357E-01, 4.816E+01, 1.418E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   58, 3.653E+02, 4.090E+01, 1.095E+01, 4.142E+01, 3.199E+01, 2.043E+01, 1.056E+02, 0.000E+00, 1.291E-01, 4.848E+01, 1.406E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   59, 3.671E+02, 4.135E+01, 1.092E+01, 4.144E+01, 3.207E+01, 2.043E+01, 9.744E+01, 0.000E+00, 1.331E-01, 4.842E+01, 1.412E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   60, 3.406E+02, 3.966E+01, 1.085E+01, 4.047E+01, 3.090E+01, 2.003E+01, 1.073E+02, 0.000E+00, 1.355E-01, 4.783E+01, 1.433E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   61, 3.314E+02, 3.957E+01, 1.090E+01, 4.046E+01, 3.161E+01, 1.995E+01, 1.197E+02, 0.000E+00, 1.367E-01, 4.702E+01, 1.430E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   62, 3.559E+02, 3.987E+01, 1.086E+01, 4.032E+01, 3.162E+01, 2.004E+01, 1.058E+02, 0.000E+00, 1.333E-01, 4.729E+01, 1.419E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   63, 3.733E+02, 3.985E+01, 1.099E+01, 4.034E+01, 3.158E+01, 1.975E+01, 1.016E+02, 0.000E+00, 1.371E-01, 4.744E+01, 1.406E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
